facility_key,observed_at,specialty,specialist_count
09a356581e867942bb13e7596325e203,2026-06-30,구강내과,0
09a356581e867942bb13e7596325e203,2026-06-30,구강병리과,0
09a356581e867942bb13e7596325e203,2026-06-30,구강악안면외과,2
09a356581e867942bb13e7596325e203,2026-06-30,소아치과,0
09a356581e867942bb13e7596325e203,2026-06-30,영상치의학과,0
09a356581e867942bb13e7596325e203,2026-06-30,예방치과,0
09a356581e867942bb13e7596325e203,2026-06-30,치과교정과,0
09a356581e867942bb13e7596325e203,2026-06-30,치과보존과,0
09a356581e867942bb13e7596325e203,2026-06-30,치과보철과,0
09a356581e867942bb13e7596325e203,2026-06-30,치주과,0
09a356581e867942bb13e7596325e203,2026-06-30,통합치의학과,2
19a77b3cc75345fb8c829fa227ed7d93,2026-06-30,구강내과,0
19a77b3cc75345fb8c829fa227ed7d93,2026-06-30,구강병리과,0
19a77b3cc75345fb8c829fa227ed7d93,2026-06-30,구강악안면외과,0
19a77b3cc75345fb8c829fa227ed7d93,2026-06-30,소아치과,0
19a77b3cc75345fb8c829fa227ed7d93,2026-06-30,영상치의학과,0
19a77b3cc75345fb8c829fa227ed7d93,2026-06-30,예방치과,0
19a77b3cc75345fb8c829fa227ed7d93,2026-06-30,치과교정과,0
19a77b3cc75345fb8c829fa227ed7d93,2026-06-30,치과보존과,0
19a77b3cc75345fb8c829fa227ed7d93,2026-06-30,치과보철과,2
19a77b3cc75345fb8c829fa227ed7d93,2026-06-30,치주과,0
19a77b3cc75345fb8c829fa227ed7d93,2026-06-30,통합치의학과,2
294d61b53ec9fe9e4885f4bbca58db4b,2026-06-30,구강내과,0
294d61b53ec9fe9e4885f4bbca58db4b,2026-06-30,구강병리과,0
294d61b53ec9fe9e4885f4bbca58db4b,2026-06-30,구강악안면외과,2
294d61b53ec9fe9e4885f4bbca58db4b,2026-06-30,소아치과,0
294d61b53ec9fe9e4885f4bbca58db4b,2026-06-30,영상치의학과,0
294d61b53ec9fe9e4885f4bbca58db4b,2026-06-30,예방치과,0
294d61b53ec9fe9e4885f4bbca58db4b,2026-06-30,치과교정과,0
294d61b53ec9fe9e4885f4bbca58db4b,2026-06-30,치과보존과,0
294d61b53ec9fe9e4885f4bbca58db4b,2026-06-30,치과보철과,2
294d61b53ec9fe9e4885f4bbca58db4b,2026-06-30,치주과,0
294d61b53ec9fe9e4885f4bbca58db4b,2026-06-30,통합치의학과,0
3242ed1c4395afec1a1cbeb1e4768772,2026-06-30,구강내과,0
3242ed1c4395afec1a1cbeb1e4768772,2026-06-30,구강악안면외과,1
3242ed1c4395afec1a1cbeb1e4768772,2026-06-30,소아치과,0
3242ed1c4395afec1a1cbeb1e4768772,2026-06-30,예방치과,0
3242ed1c4395afec1a1cbeb1e4768772,2026-06-30,치과교정과,0
3242ed1c4395afec1a1cbeb1e4768772,2026-06-30,치과보존과,0
3242ed1c4395afec1a1cbeb1e4768772,2026-06-30,치과보철과,4
3242ed1c4395afec1a1cbeb1e4768772,2026-06-30,치주과,2
3242ed1c4395afec1a1cbeb1e4768772,2026-06-30,통합치의학과,4
335bef2a274bff885cb65fccf69a0c0a,2026-06-30,구강내과,0
335bef2a274bff885cb65fccf69a0c0a,2026-06-30,구강병리과,0
335bef2a274bff885cb65fccf69a0c0a,2026-06-30,구강악안면외과,0
335bef2a274bff885cb65fccf69a0c0a,2026-06-30,소아치과,0
335bef2a274bff885cb65fccf69a0c0a,2026-06-30,영상치의학과,0
335bef2a274bff885cb65fccf69a0c0a,2026-06-30,예방치과,0
335bef2a274bff885cb65fccf69a0c0a,2026-06-30,치과교정과,0
335bef2a274bff885cb65fccf69a0c0a,2026-06-30,치과보존과,0
335bef2a274bff885cb65fccf69a0c0a,2026-06-30,치과보철과,0
335bef2a274bff885cb65fccf69a0c0a,2026-06-30,치주과,0
335bef2a274bff885cb65fccf69a0c0a,2026-06-30,통합치의학과,2
341843ab264fa8d5b72ac86008e12745,2026-06-30,구강내과,0
341843ab264fa8d5b72ac86008e12745,2026-06-30,구강병리과,0
341843ab264fa8d5b72ac86008e12745,2026-06-30,구강악안면외과,0
341843ab264fa8d5b72ac86008e12745,2026-06-30,소아치과,0
341843ab264fa8d5b72ac86008e12745,2026-06-30,영상치의학과,0
341843ab264fa8d5b72ac86008e12745,2026-06-30,예방치과,0
341843ab264fa8d5b72ac86008e12745,2026-06-30,치과보존과,0
341843ab264fa8d5b72ac86008e12745,2026-06-30,치과보철과,0
341843ab264fa8d5b72ac86008e12745,2026-06-30,치주과,0
4470b1a0084e6fb248f0c2103f0f4d25,2026-06-30,구강내과,0
4470b1a0084e6fb248f0c2103f0f4d25,2026-06-30,구강악안면외과,2
4470b1a0084e6fb248f0c2103f0f4d25,2026-06-30,소아치과,0
4470b1a0084e6fb248f0c2103f0f4d25,2026-06-30,영상치의학과,0
4470b1a0084e6fb248f0c2103f0f4d25,2026-06-30,예방치과,0
4470b1a0084e6fb248f0c2103f0f4d25,2026-06-30,치과교정과,0
4470b1a0084e6fb248f0c2103f0f4d25,2026-06-30,치과보존과,0
4470b1a0084e6fb248f0c2103f0f4d25,2026-06-30,치과보철과,2
4470b1a0084e6fb248f0c2103f0f4d25,2026-06-30,치주과,2
4470b1a0084e6fb248f0c2103f0f4d25,2026-06-30,통합치의학과,0
476a1ecdd719dd20038295e5c3dab934,2026-06-30,구강악안면외과,0
476a1ecdd719dd20038295e5c3dab934,2026-06-30,소아치과,0
476a1ecdd719dd20038295e5c3dab934,2026-06-30,예방치과,0
476a1ecdd719dd20038295e5c3dab934,2026-06-30,치과교정과,0
476a1ecdd719dd20038295e5c3dab934,2026-06-30,치과보존과,0
476a1ecdd719dd20038295e5c3dab934,2026-06-30,치과보철과,0
476a1ecdd719dd20038295e5c3dab934,2026-06-30,치주과,0
476a1ecdd719dd20038295e5c3dab934,2026-06-30,통합치의학과,1
57b08740d82d5663b8e3d2e94dd4e8aa,2026-06-30,구강내과,0
57b08740d82d5663b8e3d2e94dd4e8aa,2026-06-30,구강병리과,0
57b08740d82d5663b8e3d2e94dd4e8aa,2026-06-30,구강악안면외과,0
57b08740d82d5663b8e3d2e94dd4e8aa,2026-06-30,소아치과,0
57b08740d82d5663b8e3d2e94dd4e8aa,2026-06-30,영상치의학과,0
57b08740d82d5663b8e3d2e94dd4e8aa,2026-06-30,예방치과,0
57b08740d82d5663b8e3d2e94dd4e8aa,2026-06-30,치과교정과,0
57b08740d82d5663b8e3d2e94dd4e8aa,2026-06-30,치과보존과,0
57b08740d82d5663b8e3d2e94dd4e8aa,2026-06-30,치과보철과,0
57b08740d82d5663b8e3d2e94dd4e8aa,2026-06-30,치주과,2
5aff8f4bb8768be957e37935e2f238b4,2026-06-30,구강내과,0
5aff8f4bb8768be957e37935e2f238b4,2026-06-30,구강병리과,0
5aff8f4bb8768be957e37935e2f238b4,2026-06-30,구강악안면외과,0
5aff8f4bb8768be957e37935e2f238b4,2026-06-30,소아치과,0
5aff8f4bb8768be957e37935e2f238b4,2026-06-30,영상치의학과,0
5aff8f4bb8768be957e37935e2f238b4,2026-06-30,예방치과,0
5aff8f4bb8768be957e37935e2f238b4,2026-06-30,치과교정과,0
5aff8f4bb8768be957e37935e2f238b4,2026-06-30,치과보존과,0
